100 ATTORNEY STREET
1001 EAST 100 STREET
101 PARK AVENUE
1010 REV. J. A. POLITE AVENUE
1025 EASTERN PARKWAY
1077 REMSEN AVENUE
1084 LENOX ROAD
1137 HERKIMER STREET
1224 PARK PLACE
1260 FRANKLIN AVENUE
1300 GREENE AVENUE
134 WEST 122 STREET
141 MACON STREET
144-176 EAST 128 STREET
145 WEST 84 STREET
1495 HERKIMER STREET
1500 PELHAM PARKWAY SOUTH
1535 STORY AVENUE
157 WILSON STREET
1573 MADISON AVENUE
1580 DEAN STREET
1640 BRONXDALE AVE
1701 FULTON AVENUE
20 WEST 112 STREET
183 SOUTH 3 STREET
188 ROCHESTER AVENUE
1919 PROSPECT AVENUE
2005 MADISON AVENUE
2021 BERGEN STREET
21 JUMEL PLACE
211 THROOP AVENUE
215 HEYWARD STREET
220 HENRY STREET
222 WEST 134 STREET
2230 5 AVENUE
231 PALMETTO STREET
232 EAST 103 STREET
2351 1ST AVENUE
333 EAST 135 STREET
240 WEST 113 STREET
241 EMERSON PLACE
250 EAST 156 STREET
250 WEST 127 STREET
455 SOUTHERN BLVD
600 SAINT ANN'S AVENUE
27 HUNTINGTON STREET
284 BALTIC STREET
3000 AVENUE X
301 WEST 140 STREET
330 ALABAMA AVENUE
339 MORRIS AVENUE
350 LINWOOD STREET
364 SACKMAN STREET
370 FOUNTAIN AVENUE
3740 BAYCHESTER AVENUE
383 EAST 139 STREET
40 IRVING PLACE
410 EAST 100 STREET
4140 HUTCHINSON RIVER PKWAY EA
423 East 138th Street
424 LEONARD STREET
432 MONROE STREET
433 EAST 100 STREET
439 WEST 49TH STREET
442 EAST HOUSTON STREET
443 ST MARKS AVENUE
450 SAINT PAUL'S PLACE
501 WEST AVENUE
51 CHRISTOPHER AVENUE
51 SAINT EDWARDS STREET
545 WILLOUGHBY AVENUE
557 PENNSYLVANIA AVENUE
5800 TILDEN AVENUE
601 PARKSIDE AVENUE
616 QUINCY STREET
625 WEST 133 STREET
655 PARKSIDE AVENUE
677 EAST 141 STREET
681 KELLY STREET
70 TOMPKINS AVENUE
700 PARK AVENUE
71 SULLIVAN STREET
72 VERONICA PLACE
730 BRYANT AVENUE
750 CONCOURSE VILLAGE WEST
760 PROSPECT PLACE
790 EAST NEW YORK AVENUE
791 EMPIRE BOULEVARD
794 MONROE STREET
80 UNDERHILL AVENUE
800 GATES AVENUE
800 HOME STREET
900 TINTON AVENUE
93 NAGLE AVENUE
968 CAULDWELL AVENUE
977 FOX STREET
982 HEGEMAN AVENUE
985 ROCKAWAY AVENUE
99 TERRACE VIEW AVENUE
